ENGINE_SIZE,CYLINDERS,FUEL_TYPE,CITY,HWY,COMB,COMB_mpg,CO2_EMISSIONS 
5.3,8,X,18,13.4,15.9,18,366
5.3,8,E,23.5,17.7,20.9,14,334
5.3,8,X,18.3,14.2,16.4,17,377
5.3,8,E,23.7,18.8,21.5,13,344
5.3,8,X,18.6,13.9,16.5,17,380
5.3,8,E,23.9,18.5,21.5,13,344
5.3,8,X,18.3,14.2,16.4,17,377
5.3,8,E,25.3,19.3,22.6,12,362
5.3,8,X,18.6,13.9,16.5,17,380
5.3,8,E,23.9,18.5,21.5,13,344
5.3,8,X,18.3,14.2,16.4,17,377
5.3,8,E,25.3,19.3,22.6,12,362
2.2,4,X,11,7.9,9.6,29,221
2.2,4,E,14.8,10.6,12.9,22,206
2.2,4,X,10.5,7.4,9.1,31,209
2.2,4,E,14.2,10.2,12.4,23,198
2.4,4,Z,10.9,8,9.6,29,221
2.4,4,E,15.3,11.1,13.4,21,214
2.4,4,Z,10.9,7.9,9.5,30,219
2.4,4,E,14.2,10.4,12.5,23,200
2.2,4,X,11,7.9,9.6,29,221
2.2,4,E,14.8,10.6,12.9,22,206
2.2,4,X,10.5,7.4,9.1,31,209
2.2,4,E,14.2,10.2,12.4,23,198
2.4,4,Z,10.9,8,9.6,29,221
2.4,4,E,15.3,11.1,13.4,21,214
2.4,4,Z,10.9,7.9,9.5,30,219
2.4,4,E,14.2,10.4,12.5,23,200
3.5,6,X,12.2,8,10.3,27,237
3.5,6,E,16.5,10.7,13.9,20,222
3.9,6,X,13.5,8.8,11.4,25,262
3.9,6,E,18.1,11.9,15.3,18,245
2.4,4,X,10.8,7.1,9.1,31,209
2.4,4,E,15.7,9.9,13.1,22,210
3.6,6,X,13.9,9.3,11.8,24,271
4.3,6,X,15.7,11.8,14,20,322
4.8,8,X,17,12.3,14.9,19,343
4.8,8,E,22.2,16.6,19.7,14,315
5.3,8,X,15.9,11.2,13.8,20,317
5.3,8,E,21.3,14.7,18.3,15,293
6.2,8,Z,18.8,13,16.2,17,373
6.2,8,E,25.5,17.4,21.9,13,350
4.3,6,X,16.6,13.3,15.1,19,347
4.8,8,X,17.7,13.4,15.7,18,361
4.8,8,E,23.2,17.8,20.8,14,333
5.3,8,X,16.1,11.2,13.9,20,320
5.3,8,E,21.5,14.7,18.5,15,296
6.2,8,Z,19.6,13.4,16.8,17,386
6.2,8,E,26.6,17.8,22.6,12,362
6,8,X,11.5,9.9,10.8,26,248
6,8,X,11.6,10.1,10.9,26,251
5.3,8,X,15.3,10.7,13.3,21,306
5.3,8,E,20.7,14.4,17.9,16,286
5.3,8,X,16.1,11.2,13.9,20,320
5.3,8,E,21.5,14.7,18.5,15,296
5.3,8,X,16.1,11.2,13.9,20,320
5.3,8,E,21.5,14.7,18.5,15,296
6,8,X,22.8,15.3,19.4,15,446
6,8,X,22.7,15,19.2,15,442
5.3,8,X,16.1,11.2,13.9,20,320
